"Index" "mc.m" "mt.m" "oc.m" "ot.m"
2017-06-16 02:00:00 7.30786974032872 8.87252835606118 6.67470612571322 8.23628882499719
2017-06-16 03:00:00 7.81049083806303 6.10652872832086 6.61656556611752 8.15599031121172
2017-06-16 04:00:00 8.7523589840201 6.86677236545727 6.10213539812063 8.66678860606218
2017-06-16 05:00:00 7.67410156660221 7.50466526775152 6.77603025264877 9.85362087522967
2017-06-16 06:00:00 5.93123524328075 7.82117833093 5.03259988401959 11.0875152699289
2017-06-16 07:00:00 9.47144087134483 8.27891126612199 7.61235814061125 9.62381914113213
2017-06-16 08:00:00 9.60981083608957 7.93278998937585 4.81449341182444 8.22187900197698
2017-06-16 09:00:00 8.78936631241151 6.29664861914012 7.17905966186538 12.5785759961026
2017-06-16 10:00:00 5.79547157599089 7.35154915471037 6.19108360463279 17.5236647963699
2017-06-16 11:00:00 8.73499424986132 8.5093123784626 6.35609411657136 10.5685438383653
2017-06-16 12:00:00 12.2651065968776 9.2561668037284 7.61588084662382 9.74936257402082
2017-06-16 13:00:00 9.66135946206931 15.8123962556125 9.05361480876025 9.82242761428157
2017-06-16 14:00:00 13.353028810169 20.630850785859 6.988332252112 12.6388399137782
2017-06-16 15:00:00 13.9810632810661 21.1663663528941 8.67332850441306 8.16314623681899
2017-06-16 16:00:00 18.6268353561605 19.4611214761089 7.80906948632528 13.9780249993633
2017-06-16 17:00:00 13.1096152964504 12.8443303540231 7.88838714587946 9.59418560381782
2017-06-16 18:00:00 10.1453580996599 6.60665983936916 7.64994476412964 7.12511357220547
2017-06-16 19:00:00 11.4949337962584 9.95388828501686 7.37045811752537 9.89291890567038
2017-06-16 20:00:00 6.97521818383659 7.26598860356533 6.20126525073408 7.34853004493276
